Date,User,Message
2020-09-19 17:01,유저9,유저9 invited 유저15 and.
2020-09-19 17:01,유저9,.
2020-09-19 17:01,유저9,안녕하세요 DB 이해와 응용 팀플방입니당
2020-09-19 17:17,유저14,안녕하세여 ㅎㅎ
2020-09-19 17:24,유저15,안녕하세요~!!
2020-09-19 21:00,유저9,중국 학생 한 분은 카톡을 보냈는데 답장이 없으시네요
2020-09-19 21:00,유저9,ㅠ
2020-09-20 15:54,유저9,유저9 invited 유저16.
2020-09-20 15:55,유저9,안녕하세요! 데이터베이스의 이해와 응용 팀 프로젝트 채팅방입니다
2020-09-20 15:55,유저15,안녕하세요!!
2020-09-20 15:55,유저14,안녕하세요~~
2020-09-20 15:55,유저16,안녕하세요
2020-09-24 15:27,유저9,"1번 : 어떤 기능들이 존재하는가?
=> 
개인적인 기록 기능(스크랩, 에세이, 읽은 책, 읽고 싶은 책 등)
SNS 기능 (리뷰, 스크랩, 에세이 등을 공유, 서로 소통(댓글)하는 기능 등)
추천 기능 (개발자의 글, 관심 책 추천, 책 관련 플레이스 추천, 타인의 스크랩 글 추천)
 
- SNS랑 친구추가 기능
- 읽은 책이랑 읽고 싶은, 읽는 중인 책을 기록하기
- 사진찍어서 스크랩하기 공유하기 
- 북클럽 기능
- 책 추천 해주는 기능
- 에세이 기록하는 기능 
- 주변에 서점 알려주는 기능
- 독서달력 (날짜별로 무슨 책을 읽었나)
- 개발자가 추천해주는 책, 에세이, 관련 글
 
2번 : 사용자들이 책 읽기를 기록하고, 책장에 넣고, 감명 깊은 구절을 포스팅하는 동안 어떤 데이터가 쌓일지? 
 
유저 데이터
- 기본 유저 데이터(사진, 이름, 나이, 성별, 지역 등등등)
- 사용자 위치
- 비슷한 성향의 사람들 간의 관계 네트워크 데이터
- 북클럽 가입자들의 데이터
 
리뷰 데이터
- 책의 리뷰 데이터
- 스크랩한 사진 데이터
- 특정 책에서 많이 스크랩하는 페이지
 
책 데이터
- 장르 선호도에 따라 빈번하게 읽히는 책
- 많이 읽히는 책
- 시기 별로 읽히는 책 데이터
- 연령/성별에 따른 선호도? 등등 책 데이터
- 판매되는 책 순위와 별개로, 앱 사용자들이 실제로 많이 읽는 책 데이터
 
어플리케이션 이용 데이터
- 할인/이벤트 등의 효과에 관한 데이터
- 앱 내의 기능에 따른 사용 빈도 데이터"
2020-09-24 15:28,유저15,발표는
2020-09-24 15:28,유저15,앗..
2020-09-24 15:28,유저15,이모티콘
2020-09-24 15:28,유저14,감사합니다.....
2020-09-24 15:32,유저9,헉
2020-09-24 15:32,유저9,이걸 이제 봤네요 @@
2020-09-24 15:32,유저15,ㅋㅋㅋ 발표 잘 들었습니다
2020-09-24 15:32,유저15,발표는 매번 하는 거 같은데
2020-09-24 15:32,유저14,맞아요
2020-09-24 15:32,유저15,돌아가면서 하는걸로 할까여?
2020-09-24 15:32,유저14,형님 최고십니다
2020-09-24 15:32,유저14,넵!
2020-09-24 15:32,유저14,좋습니다
2020-09-24 15:33,유저15,네넹~ 다음엔 그럼 제가 발표할게요!
2020-09-24 15:33,유저9,넵 좋아용
2020-09-24 15:33,유저9,!
2020-09-24 15:33,유저9,이모티콘
2020-09-24 15:33,유저14,그럼 그 담엔 제가 하겠습니다 ~~!!
2020-09-24 15:34,유저15,이모티콘
2020-11-26 15:12,유저15,사진
2020-11-26 15:22,유저15,저희가 1조 맞지요?
2020-11-26 15:22,유저9,넹넹
2020-11-26 15:25,유저15,저희 한 번 얘기를 해보면 좋을 것 같은데
2020-11-26 15:25,유저15,꼭 대면은 아니더라도
2020-11-26 15:29,유저14,좋아요 ~~
2020-11-26 15:29,유저9,좋아용
2020-11-26 15:29,유저15,주말에 괜찮으신가요??
2020-11-26 15:30,유저15,주말이나 월요일에 좀 여유있을거 같아서 제가
2020-11-26 15:31,유저9,저도 주말이나 월요일 괜찮아요
2020-11-26 15:33,유저16,I'm fine on weekends and Mondays
2020-11-26 19:17,유저14,전 토요일빼고 가능할것 같습니다!
2020-11-26 20:18,유저15,그럼 월요일 괜찮을까요??
2020-11-26 20:54,유저9,몇시쯤 만나면 괜찮을까요 ?
2020-11-26 20:54,유저9,저는 오전에 수업이 있어서 오후면 괜찮아욥
2020-11-26 20:54,유저15,음 한 6~7시 어떠신가요
2020-11-26 21:01,유저14,괜찮습니다
2020-11-26 21:32,유저9,저도 좋아용
2020-11-26 22:36,유저14,앗 저 죄송한데 3시나 4시쯤 가능한가여..
2020-11-27 01:27,유저15,네넹 전 괜찮아요
2020-11-27 16:29,유저9,저두 괜찮아욥
2020-11-27 16:32,유저15,그럼 월요일 3시에 괜찮을까요??
2020-11-27 16:37,유저14,넵 감사합니다!
2020-11-27 17:28,유저9,좋아요
