Date,User,Message
2020-09-10 09:20,유저10,유저10 invited 유저9.
2020-09-10 09:20,유저10,안녕하세요!
2020-09-10 09:21,유저9,안녕하세요!
2020-09-10 09:21,유저9,다른 분들도 지금 초대드릴게요!
2020-09-10 09:22,유저10,넵
2020-09-10 09:23,유저9,유저9 invited 유저22 and.
2020-09-10 09:23,유저9,안녕하세요
2020-09-10 09:29,유저22,안녕하세요
2020-09-10 09:30,유저10,안녕하세요 ~~
2020-09-10 09:53,유저11,안녕하세요!
2020-09-10 09:54,유저12,안녕하세요!
2020-09-10 10:57,유저13,안녕하세요 !!
2020-09-12 17:53,유저11,저희 14일까지 조 명단 제출해야하는데 한 명만 하면 되더라고요
2020-09-12 17:53,유저11,"그냥 제가 해서 낼까요,,?? 학번이랑 알려주시겠어요?"
2020-09-12 17:56,유저10,넵  그 안에 쓸 내용도 같이 정하면 좋을 거 같아요!
2020-09-12 17:58,유저11,파일: 양식_조구성.pdf
2020-09-12 17:58,유저11,표 양식은 대강 이렇고요
2020-09-12 17:59,유저11,보니까 이번주에 조편성 내는 건 말 그대로 편성이 위주인 것 같아서 업무 배정은 대강 해놓고 과제마다 바꾸는 걸로 규칙? 에 작성하면 될 것 같아요
2020-09-12 18:00,유저11,"지금 그럼 정해야할 게
1. 조 이름 및 소개
2. 조 규칙
   - 과제마다 역할 바뀌는 것 명시
3. 조 문제해결 전략
4. 학번 및 연락처 기재 (주시면 적을게요) 
5. 업무 할당 (이번주는 큰 비중은 안 두고 적어도 될 듯)"
2020-09-12 18:00,유저11,이렇게인 것 같습니다
2020-09-12 18:02,유저10,흠 근데 양식 아래에 써 있는 내용은 규칙 예시라서 꼭 업무를 바꿔야 하는 건 아닐 듯 한데 돌아가면서 하는 게 좋을까요? 아니면 일정 부분 고정 하는 게 좋을까요?
2020-09-12 18:03,유저10,발표 같은 경우는 한 학기에 2회만 있는 걸로 알고 있습니다 ..!
2020-09-12 18:06,유저9,"저희가 추후에 두번째 과제 당면해서 회의를 통해 정할 수 있는 부분이니까, 일단은 과제마다 역할 바뀌는걸로 해도 상관은 없을 것 같아요...!"
2020-09-12 18:06,유저9,"일단 학번이랑 연락처 보내드립니다!
2015048722 / 010-9967-3455"
2020-09-12 18:08,유저10,저도 2019044802/010-6670-9709 입니다
2020-09-12 18:09,유저11,아 제가 하려던 말은 업무에 너무 얽매이지 않게? 적는 게 좋겠안 말이었어용 :)
2020-09-12 18:09,유저11,1주차라 아직 뭘 할지도 모르니까
2020-09-12 18:09,유저11,대강 적어도 될 것 같은 느낌!
2020-09-12 18:09,유저11,학번 연락처부터 보내주신대로 기재하겠습니당
2020-09-12 18:11,유저22,네 2016003427 / 010-41837642 입니다.
2020-09-12 18:11,유저10,넵 ~~
2020-09-12 19:29,유저13,"헉 늦게 봐서 정말 죄송합니다,
2018052006 / 010 7939 0586 입니다"
2020-09-12 19:30,유저13,조 규칙이나 문제해결 전략 같은 것은 어떻게 하셨나요 ?
2020-09-12 19:30,유저12,2019021003 / 010-2334-3080입니다!!
2020-09-12 19:30,유저13,교수님이 예시 보여주신 거 참고해서 대강 적어도 괜찮을 거 같아요 !
2020-09-12 19:36,유저13,사진
